Station_Station,Ag District_Ag District,Last Updated_Last Updated,Current_Air Temp,Current_Wind Dir,Current_Wind Speed,Current_Peak Gust,Current_Rel Hum,Current_Dew Point Temp,Current_Est. Wet-bulb Temp,Current_Est. ΔT,Current_Inversion 9/1.5 m,Current_Inversion 3/0.5 m,Current_Bare Soil Temp,Current_Turf Soil Temp,Current_Solar Rad,Current_Sea-level Baro Press,Yest's Total Rain_Yest's Total Rain,Today's Total Rain_Today's Total Rain,Last Hour's Total Rain_Last Hour's Total Rain,Today's Max Air Temp_Today's Max Air Temp,Today's Min Air Temp_Today's Min Air Temp,Today's Peak Gust_Today's Peak Gust,Fetched_At_UTC
Cottonwood S,MN-SW,22 Aug 09:40 CDT,69°,NNW,6 mph,9 mph,76 %,61°,64°,5°,-1°,-3°,67°,67°,485 W/m²,1021.1 mb,"0.00""","0.00""","0.00""",69° (09:40),59° (04:57),11 mph (09:28),2026-08-22T14:43:57.076250
Courtenay 5W,ND-C,22 Aug 09:40 CDT,63°,NNE,4 mph,6 mph,79 %,56°,58°,4°,0°,-4°,65°,66°,431 W/m²,1024.3 mb,"0.00""","0.00""","0.00""",63° (09:40),47° (07:04),8 mph (09:21),2026-08-22T14:43:57.076250
Crane Creek 1E,ND-NW,22 Aug 09:40 CDT,62°,E,4 mph,7 mph,73 %,54°,57°,5°,---,-3°,60°,62°,417 W/m²,1026.6 mb,"0.00""","0.00""","0.00""",63° (09:40),49° (06:06),11 mph (08:05),2026-08-22T14:43:57.076250
Crary 1E,ND-NE,22 Aug 09:40 CDT,63°,NE,5 mph,7 mph,73 %,54°,58°,5°,---,-1°,64°,63°,444 W/m²,---,"0.00""","0.00""","0.00""",63° (09:40),54° (07:17),10 mph (02:34),2026-08-22T14:43:57.076250
Croff 3E,ND-WC,22 Aug 09:40 CDT,63°,E,4 mph,7 mph,68 %,53°,57°,6°,---,-2°,63°,62°,405 W/m²,1026.2 mb,"0.01""","0.00""","0.00""",63° (09:40),42° (05:49),8 mph (09:32),2026-08-22T14:43:57.076250
Crookston 3N,MN-NW,22 Aug 09:40 CDT,64°,N,7 mph,10 mph,74 %,56°,59°,5°,-1°,-2°,64°,66°,414 W/m²,1023.6 mb,"0.00""","0.00""","0.00""",64° (09:36),51° (06:58),12 mph (09:26),2026-08-22T14:43:57.076250
Crosby 7S,ND-NW,22 Aug 09:40 CDT,62°,SE,3 mph,5 mph,78 %,55°,57°,4°,---,-1°,61°,63°,398 W/m²,---,"0.03""","0.00""","0.00""",62° (09:40),48° (07:10),5 mph (09:03),2026-08-22T14:43:57.076250
Crystal 4NW,ND-NE,22 Aug 09:40 CDT,64°,NNW,7 mph,9 mph,76 %,57°,60°,5°,---,-3°,61°,62°,442 W/m²,---,"0.04""","0.00""","0.00""",65° (09:39),50° (07:20),11 mph (09:15),2026-08-22T14:43:57.076250
Dagmar 7WSW,MT-NE,22 Aug 09:40 CDT,65°,ESE,6 mph,8 mph,59 %,51°,57°,9°,-1°,-3°,64°,66°,360 W/m²,1024.9 mb,"0.02""","0.00""","0.00""",65° (09:40),48° (06:38),10 mph (08:54),2026-08-22T14:43:57.076250
Davis Dam 2NW,ND-SW,22 Aug 09:40 CDT,69°,ESE,8 mph,12 mph,47 %,48°,57°,12°,-1°,-2°,68°,70°,379 W/m²,1026.5 mb,"0.00""","0.00""","0.00""",69° (09:40),55° (06:32),12 mph (09:14),2026-08-22T14:43:57.076250
Dazey 2E,ND-EC,22 Aug 09:40 CDT,65°,NNE,7 mph,9 mph,70 %,55°,59°,6°,---,-2°,67°,67°,448 W/m²,1024.6 mb,"0.00""","0.00""","0.00""",65° (09:39),48° (06:52),9 mph (09:37),2026-08-22T14:43:57.076250
Delhi 4SW,MN-SW,22 Aug 09:40 CDT,69°,NNW,6 mph,8 mph,76 %,61°,63°,5°,-1°,-1°,68°,68°,464 W/m²,1021.2 mb,"0.00""","0.00""","0.00""",69° (09:40),57° (06:09),12 mph (09:00),2026-08-22T14:43:57.076250
Denhoff 1NE,ND-C,22 Aug 09:40 CDT,60°,NNE,7 mph,9 mph,78 %,53°,56°,4°,-1°,-3°,62°,63°,424 W/m²,1026.1 mb,"0.00""","0.00""","0.00""",61° (09:40),53° (07:06),12 mph (09:11),2026-08-22T14:43:57.076250
Dickinson 1NW,ND-SW,22 Aug 09:40 CDT,65°,E,3 mph,5 mph,62 %,52°,57°,8°,0°,-2°,67°,68°,361 W/m²,1026.6 mb,"0.00""","0.00""","0.00""",65° (09:40),51° (07:10),6 mph (08:57),2026-08-22T14:43:57.076250
Dooley 3S,MT-NE,22 Aug 09:40 CDT,63°,ESE,11 mph,16 mph,61 %,49°,55°,8°,-1°,-2°,63°,63°,370 W/m²,1026.6 mb,"0.00""","0.00""","0.00""",63° (09:40),50° (05:55),16 mph (09:09),2026-08-22T14:43:57.076250
