Station_Station,Ag District_Ag District,Last Updated_Last Updated,Current_Air Temp,Current_Wind Dir,Current_Wind Speed,Current_Peak Gust,Current_Rel Hum,Current_Dew Point Temp,Current_Est. Wet-bulb Temp,Current_Est. ΔT,Current_Inversion 9/1.5 m,Current_Inversion 3/0.5 m,Current_Bare Soil Temp,Current_Turf Soil Temp,Current_Solar Rad,Current_Sea-level Baro Press,Yest's Total Rain_Yest's Total Rain,Today's Total Rain_Today's Total Rain,Last Hour's Total Rain_Last Hour's Total Rain,Today's Max Air Temp_Today's Max Air Temp,Today's Min Air Temp_Today's Min Air Temp,Today's Peak Gust_Today's Peak Gust,Fetched_At_UTC
Pickardville 6SW,ND-C,22 Aug 09:40 CDT,65°,NE,8 mph,12 mph,70 %,54°,58°,6°,-2°,-6°,60°,60°,406 W/m²,1025.2 mb,"0.00""","0.00""","0.00""",65° (09:40),43° (05:56),13 mph (09:05),2026-08-22T14:43:57.076250
Pillsbury 1N,ND-EC,22 Aug 09:40 CDT,66°,NE,8 mph,11 mph,69 %,56°,60°,7°,---,-5°,66°,66°,459 W/m²,---,"0.00""","0.00""","0.00""",67° (09:40),51° (06:30),13 mph (09:31),2026-08-22T14:43:57.076250
Pine Island 5SW,MN-SE,22 Aug 09:40 CDT,67°,N,11 mph,17 mph,75 %,59°,62°,5°,0°,-2°,68°,68°,515 W/m²,1019.3 mb,"0.00""","0.00""","0.00""",68° (09:35),60° (06:32),17 mph (09:39),2026-08-22T14:43:57.076250
Pine Point 2N,MN-NW,22 Aug 09:40 CDT,63°,NNW,8 mph,11 mph,68 %,52°,57°,6°,---,-1°,65°,64°,473 W/m²,---,"0.00""","0.00""","0.00""",64° (09:39),52° (05:31),13 mph (08:56),2026-08-22T14:43:57.076250
Pioneer,ND-NW,22 Aug 09:40 CDT,65°,ESE,8 mph,11 mph,61 %,52°,57°,8°,---,-2°,64°,65°,388 W/m²,---,"0.01""","0.00""","0.00""",66° (09:40),48° (05:46),11 mph (09:39),2026-08-22T14:43:57.076250
Plaza 10S,ND-NW,22 Aug 09:40 CDT,64°,E,5 mph,8 mph,74 %,55°,59°,5°,---,-3°,58°,61°,413 W/m²,---,"0.00""","0.00""","0.00""",64° (09:40),45° (06:25),8 mph (02:24),2026-08-22T14:43:57.076250
Poker Jim,ND-WC,22 Aug 09:40 CDT,61°,NNE,0 mph,1 mph,61 %,48°,53°,8°,0°,-2°,64°,66°,358 W/m²,1024.9 mb,"0.00""","0.00""","0.00""",62° (09:40),43° (07:03),5 mph (03:03),2026-08-22T14:43:57.076250
Portal 1SE,ND-NW,22 Aug 09:40 CDT,60°,SE,5 mph,8 mph,85 %,55°,57°,3°,---,-1°,56°,63°,427 W/m²,1026.1 mb,"0.00""","0.00""","0.00""",60° (09:40),45° (06:06),9 mph (09:23),2026-08-22T14:43:57.076250
Powers Lake 6SE,ND-NW,22 Aug 09:40 CDT,64°,SE,4 mph,7 mph,76 %,56°,59°,5°,-2°,-3°,57°,60°,377 W/m²,1026.7 mb,"0.02""","0.00""","0.00""",64° (09:40),44° (04:23),9 mph (09:28),2026-08-22T14:43:57.076250
Pretty Rock 2E,ND-SC,22 Aug 09:40 CDT,66°,NE,3 mph,5 mph,65 %,54°,58°,7°,-1°,-2°,66°,68°,388 W/m²,1026.4 mb,"0.00""","0.00""","0.00""",66° (01:00),56° (05:09),8 mph (01:16),2026-08-22T14:43:57.076250
Prosper 5NW,ND-EC,22 Aug 09:40 CDT,66°,N,6 mph,10 mph,70 %,56°,60°,6°,-1°,-3°,65°,62°,489 W/m²,1023.3 mb,"0.00""","0.00""","0.00""",66° (09:40),52° (07:02),10 mph (09:35),2026-08-22T14:43:57.076250
Pyramid Park,ND-SW,22 Aug 09:40 CDT,67°,ESE,4 mph,8 mph,54 %,50°,57°,10°,-1°,-2°,65°,64°,364 W/m²,1026.4 mb,"0.00""","0.00""","0.00""",67° (09:40),52° (07:42),9 mph (09:30),2026-08-22T14:43:57.076250
Rat Lake 4NW,ND-NW,22 Aug 09:40 CDT,65°,E,6 mph,8 mph,64 %,52°,57°,8°,---,-4°,57°,61°,399 W/m²,---,"0.02""","0.00""","0.00""",65° (09:40),46° (07:15),11 mph (04:10),2026-08-22T14:43:57.076250
Ray 4N,ND-NW,22 Aug 09:40 CDT,63°,ESE,7 mph,10 mph,69 %,53°,57°,6°,-1°,-4°,62°,64°,373 W/m²,1025.8 mb,"0.03""","0.00""","0.00""",64° (09:40),47° (07:23),11 mph (09:28),2026-08-22T14:43:57.076250
Redstone 5E,MT-NE,22 Aug 09:40 CDT,63°,SE,5 mph,9 mph,65 %,51°,55°,7°,-1°,-2°,64°,62°,349 W/m²,1026.2 mb,"0.02""","0.00""","0.00""",63° (09:40),48° (06:49),9 mph (09:38),2026-08-22T14:43:57.076250
Rice 4NW,MN-C,22 Aug 09:40 CDT,68°,NNW,7 mph,9 mph,63 %,55°,60°,8°,---,-1°,69°,69°,458 W/m²,---,"0.00""","0.00""","0.00""",68° (09:39),55° (06:40),14 mph (09:32),2026-08-22T14:43:57.076250
Robinson 3NNW,ND-C,22 Aug 09:40 CDT,64°,NNE,10 mph,14 mph,77 %,57°,59°,5°,-2°,-5°,63°,62°,445 W/m²,1024.4 mb,"0.00""","0.00""","0.00""",64° (09:34),55° (03:06),15 mph (09:15),2026-08-22T14:43:57.076250
Rolla 2S,ND-NC,22 Aug 09:40 CDT,62°,N,5 mph,7 mph,63 %,50°,55°,7°,---,-4°,62°,62°,414 W/m²,---,"0.00""","0.00""","0.00""",62° (09:33),51° (07:03),10 mph (01:03),2026-08-22T14:43:57.076250
Rollag 3E,MN-NW,22 Aug 09:40 CDT,65°,N,9 mph,14 mph,69 %,55°,59°,6°,-2°,-4°,66°,66°,444 W/m²,1022.6 mb,"0.00""","0.00""","0.00""",66° (09:40),56° (06:58),15 mph (08:31),2026-08-22T14:43:57.076250
Roseau 11S,MN-NW,22 Aug 09:40 CDT,61°,NNW,5 mph,9 mph,87 %,57°,58°,2°,---,-1°,60°,61°,466 W/m²,---,"0.26""","0.00""","0.00""",61° (09:40),50° (05:54),11 mph (09:02),2026-08-22T14:43:57.076250
Ross 4E,ND-NW,22 Aug 09:40 CDT,60°,SE,5 mph,8 mph,82 %,54°,56°,3°,---,-2°,59°,60°,405 W/m²,---,"0.07""","0.00""","0.00""",60° (09:40),46° (06:39),8 mph (08:38),2026-08-22T14:43:57.076250
Rothsay 2W,MN-WC,22 Aug 09:40 CDT,64°,NNE,5 mph,8 mph,82 %,58°,60°,3°,0°,-1°,65°,66°,461 W/m²,1022.7 mb,"0.42""","0.00""","0.00""",64° (09:40),54° (07:07),10 mph (09:17),2026-08-22T14:43:57.076250
Rugby 3W,ND-NC,22 Aug 09:40 CDT,62°,NNE,4 mph,7 mph,75 %,54°,57°,5°,---,-2°,60°,60°,443 W/m²,1025.2 mb,"0.00""","0.00""","0.00""",63° (09:40),46° (06:45),7 mph (09:33),2026-08-22T14:43:57.076250
Ryder 9NE,ND-NW,22 Aug 09:40 CDT,63°,ENE,7 mph,10 mph,71 %,53°,57°,6°,---,-2°,59°,61°,427 W/m²,---,"0.03""","0.00""","0.00""",63° (09:40),47° (07:29),12 mph (09:14),2026-08-22T14:43:57.076250
Sabin 2NE,MN-NW,22 Aug 09:40 CDT,62°,N,5 mph,9 mph,88 %,58°,59°,2°,---,-1°,67°,67°,355 W/m²,---,"0.67""","0.00""","0.00""",62° (09:31),53° (06:57),9 mph (09:37),2026-08-22T14:43:57.076250
Sanger 1S,ND-WC,22 Aug 09:35 CDT,61°,NNE,5 mph,7 mph,74 %,52°,56°,5°,-1°,-3°,60°,60°,391 W/m²,1025.1 mb,"0.00""","0.00""","0.00""",61° (09:34),47° (06:44),8 mph (09:11),2026-08-22T14:43:57.076250
Sawyer 7S,ND-NW,22 Aug 09:40 CDT,60°,S,0 mph,3 mph,78 %,53°,56°,4°,0°,-3°,62°,65°,414 W/m²,1026.7 mb,"0.00""","0.00""","0.00""",61° (09:40),46° (07:11),6 mph (02:38),2026-08-22T14:43:57.076250
Schafer 2W,ND-WC,22 Aug 09:40 CDT,64°,SE,9 mph,12 mph,59 %,50°,56°,9°,---,-3°,66°,66°,422 W/m²,1025.1 mb,"0.04""","0.00""","0.00""",65° (09:40),51° (07:39),12 mph (09:35),2026-08-22T14:43:57.076250
Sentinel Butte 10N,ND-SW,22 Aug 09:40 CDT,66°,ESE,8 mph,12 mph,58 %,50°,57°,9°,-1°,-2°,67°,67°,314 W/m²,1026.8 mb,"0.00""","0.00""","0.00""",66° (01:09),55° (06:50),12 mph (09:35),2026-08-22T14:43:57.076250
Shell Lake 2SE,ND-NW,22 Aug 09:40 CDT,63°,SE,5 mph,8 mph,72 %,54°,58°,6°,-2°,-3°,62°,65°,406 W/m²,1026.2 mb,"0.05""","0.00""","0.00""",63° (09:40),44° (07:14),9 mph (08:48),2026-08-22T14:43:57.076250
Shields 2N,ND-SC,22 Aug 09:40 CDT,67°,N,5 mph,8 mph,63 %,54°,59°,8°,-2°,-5°,67°,69°,412 W/m²,1024.9 mb,"0.00""","0.00""","0.00""",67° (09:34),50° (06:14),12 mph (01:20),2026-08-22T14:43:57.076250
Sidney 1NW,MT-NE,22 Aug 09:40 CDT,61°,NE,0 mph,3 mph,69 %,51°,55°,6°,---,-3°,65°,66°,334 W/m²,1024.3 mb,"0.00""","0.00""","0.00""",61° (09:40),49° (06:16),5 mph (05:46),2026-08-22T14:43:57.076250
Skogmo 3N,ND-C,22 Aug 09:40 CDT,62°,NE,3 mph,7 mph,75 %,54°,57°,5°,-2°,-6°,63°,64°,401 W/m²,1026.4 mb,"0.00""","0.00""","0.00""",63° (09:40),48° (06:59),10 mph (04:38),2026-08-22T14:43:57.076250
Sonora 1E,ND-SE,22 Aug 09:40 CDT,66°,NNE,6 mph,10 mph,74 %,57°,61°,5°,-1°,-3°,66°,66°,467 W/m²,1022.5 mb,"0.00""","0.00""","0.00""",66° (09:40),54° (06:45),10 mph (09:39),2026-08-22T14:43:57.076250
St. Anthony 8SW,ND-SC,22 Aug 09:40 CDT,67°,NE,9 mph,11 mph,62 %,53°,59°,8°,-1°,-2°,67°,66°,404 W/m²,1024.9 mb,"0.00""","0.00""","0.00""",67° (09:39),51° (06:01),11 mph (09:35),2026-08-22T14:43:57.076250
St. Gertrude 12S,ND-SC,22 Aug 09:40 CDT,66°,ENE,2 mph,3 mph,65 %,54°,58°,7°,-1°,-2°,69°,71°,372 W/m²,1024.8 mb,"0.00""","0.00""","0.00""",67° (01:02),51° (07:01),9 mph (01:19),2026-08-22T14:43:57.076250
St. Peter 1W,MN-SC,22 Aug 09:40 CDT,68°,NW,6 mph,10 mph,79 %,61°,63°,4°,1°,-2°,72°,73°,499 W/m²,1019.8 mb,"0.00""","0.00""","0.00""",68° (09:40),61° (07:11),10 mph (09:13),2026-08-22T14:43:57.076250
St. Thomas 2WSW,ND-NE,22 Aug 09:40 CDT,64°,NNW,8 mph,11 mph,71 %,54°,58°,6°,---,-4°,65°,62°,438 W/m²,---,"0.00""","0.00""","0.00""",64° (09:40),54° (04:38),11 mph (09:39),2026-08-22T14:43:57.076250
Stanley 8SW,ND-NW,22 Aug 09:40 CDT,63°,E,3 mph,5 mph,73 %,54°,58°,5°,-2°,-4°,60°,61°,388 W/m²,1026.6 mb,"0.03""","0.00""","0.00""",63° (09:40),47° (06:23),10 mph (06:08),2026-08-22T14:43:57.076250
Staples 2N,MN-C,22 Aug 09:40 CDT,65°,NNW,6 mph,11 mph,74 %,56°,59°,5°,---,-2°,63°,63°,492 W/m²,---,"0.02""","0.00""","0.00""",65° (09:38),55° (07:01),12 mph (09:07),2026-08-22T14:43:57.076250
Steele 5NW,ND-C,22 Aug 09:40 CDT,64°,NNE,5 mph,7 mph,71 %,55°,58°,6°,-1°,-3°,62°,62°,419 W/m²,1025.0 mb,"0.00""","0.00""","0.00""",64° (09:40),46° (05:27),8 mph (09:27),2026-08-22T14:43:57.076250
Stephen 1NE,MN-NW,22 Aug 09:40 CDT,62°,N,7 mph,11 mph,74 %,54°,57°,5°,---,-2°,62°,63°,437 W/m²,---,"0.00""","0.00""","0.00""",63° (09:40),50° (07:01),11 mph (09:37),2026-08-22T14:43:57.076250
Stirum 3W,ND-SE,22 Aug 09:40 CDT,65°,NE,4 mph,8 mph,78 %,58°,61°,4°,---,-3°,66°,67°,440 W/m²,---,"0.00""","0.00""","0.00""",65° (09:38),50° (06:08),8 mph (08:48),2026-08-22T14:43:57.076250
Strasburg 15W,ND-SC,22 Aug 09:40 CDT,67°,NE,6 mph,9 mph,65 %,55°,59°,8°,-1°,-3°,70°,69°,438 W/m²,1024.6 mb,"0.00""","0.00""","0.00""",67° (01:00),50° (05:22),13 mph (01:43),2026-08-22T14:43:57.076250
Streeter 6NW,ND-C,22 Aug 09:40 CDT,65°,NW,6 mph,7 mph,72 %,56°,60°,6°,-1°,-3°,63°,63°,442 W/m²,1024.8 mb,"0.00""","0.00""","0.00""",65° (09:38),53° (06:53),7 mph (09:39),2026-08-22T14:43:57.076250
Sully Springs,ND-SW,22 Aug 09:40 CDT,67°,ESE,6 mph,9 mph,51 %,49°,56°,11°,---,-3°,63°,67°,373 W/m²,1026.2 mb,"0.00""","0.00""","0.00""",67° (09:40),50° (07:01),9 mph (09:37),2026-08-22T14:43:57.076250
Sunny Slope 3W,ND-SW,22 Aug 09:40 CDT,71°,SE,16 mph,20 mph,45 %,49°,58°,13°,---,-4°,67°,68°,377 W/m²,---,"0.00""","0.00""","0.00""",72° (09:38),54° (07:10),23 mph (09:25),2026-08-22T14:43:57.076250
Tappen 3E,ND-C,22 Aug 09:40 CDT,65°,NW,2 mph,4 mph,73 %,57°,60°,5°,-1°,-3°,68°,69°,430 W/m²,1024.8 mb,"0.00""","0.00""","0.00""",65° (09:40),49° (06:50),5 mph (09:29),2026-08-22T14:43:57.076250
Taylor 6NW,ND-SW,22 Aug 09:40 CDT,65°,ENE,3 mph,6 mph,68 %,54°,58°,7°,-1°,-3°,67°,66°,389 W/m²,1025.5 mb,"0.00""","0.00""","0.00""",65° (09:40),43° (07:09),6 mph (09:37),2026-08-22T14:43:57.076250
Tioga 7NW,ND-NW,22 Aug 09:40 CDT,63°,SE,5 mph,7 mph,72 %,54°,58°,6°,---,-3°,57°,59°,413 W/m²,---,"0.04""","0.00""","0.00""",63° (09:40),42° (06:56),7 mph (08:21),2026-08-22T14:43:57.076250
Turtle Lake 4N,ND-WC,22 Aug 09:40 CDT,64°,NE,10 mph,14 mph,69 %,54°,58°,6°,-2°,-4°,66°,65°,539 W/m²,1025.2 mb,"0.00""","0.00""","0.00""",---,---,14 mph (09:30),2026-08-22T14:43:57.076250
Ulen 7ESE,MN-NW,22 Aug 09:40 CDT,64°,NNE,5 mph,9 mph,73 %,56°,59°,5°,---,-2°,64°,65°,462 W/m²,1023.0 mb,"0.01""","0.00""","0.00""",64° (09:37),50° (06:52),9 mph (09:39),2026-08-22T14:43:57.076250
Underwood 1NW,MN-WC,22 Aug 09:40 CDT,66°,N,7 mph,11 mph,73 %,57°,60°,6°,-1°,-5°,64°,66°,368 W/m²,1022.4 mb,"0.10""","0.00""","0.00""",66° (09:39),60° (07:13),12 mph (09:26),2026-08-22T14:43:57.076250
Vernon Center 1NE,MN-SC,22 Aug 09:40 CDT,69°,NNE,3 mph,7 mph,80 %,63°,65°,4°,-2°,-3°,72°,73°,489 W/m²,1020.2 mb,"0.00""","0.00""","0.00""",70° (09:40),59° (06:58),9 mph (09:20),2026-08-22T14:43:57.076250
Viking 1SW,MN-NW,22 Aug 09:40 CDT,63°,N,8 mph,12 mph,80 %,57°,59°,4°,-2°,-4°,61°,62°,435 W/m²,1022.7 mb,"0.00""","0.00""","0.00""",63° (09:40),51° (06:19),12 mph (09:35),2026-08-22T14:43:57.076250
Wadena 4W,MN-WC,22 Aug 09:40 CDT,65°,NNW,10 mph,13 mph,71 %,55°,59°,6°,---,-1°,66°,67°,502 W/m²,---,"0.00""","0.00""","0.00""",65° (09:38),54° (06:46),13 mph (09:35),2026-08-22T14:43:57.076250
Wahpeton 6N,ND-SE,22 Aug 09:40 CDT,65°,NNE,10 mph,13 mph,72 %,56°,60°,6°,---,-2°,67°,66°,460 W/m²,1022.6 mb,"0.00""","0.00""","0.00""",66° (09:40),51° (07:00),13 mph (09:26),2026-08-22T14:43:57.076250
Wales 1W,ND-NE,22 Aug 09:40 CDT,60°,N,4 mph,7 mph,84 %,55°,57°,3°,---,-1°,59°,60°,432 W/m²,---,"0.01""","0.00""","0.00""",60° (09:40),47° (07:12),8 mph (09:03),2026-08-22T14:43:57.076250
Warren 6SW,MN-NW,22 Aug 09:40 CDT,62°,N,10 mph,13 mph,75 %,54°,58°,5°,---,-1°,63°,63°,419 W/m²,---,"0.01""","0.00""","0.00""",63° (09:39),51° (06:31),14 mph (09:29),2026-08-22T14:43:57.076250
Waseca 1SW,MN-SC,22 Aug 09:40 CDT,69°,NNW,3 mph,6 mph,78 %,62°,64°,5°,-1°,-2°,70°,68°,471 W/m²,1019.7 mb,"0.00""","0.00""","0.00""",69° (09:40),58° (04:36),10 mph (08:56),2026-08-22T14:43:57.076250
Watford City 3SW,ND-WC,22 Aug 09:40 CDT,66°,ESE,7 mph,11 mph,61 %,52°,57°,8°,-1°,-2°,63°,65°,374 W/m²,1025.1 mb,"0.06""","0.00""","0.00""",66° (09:40),51° (07:00),11 mph (09:37),2026-08-22T14:43:57.076250
Waukon 3S,MN-NW,22 Aug 09:40 CDT,63°,NNE,9 mph,13 mph,72 %,54°,58°,5°,---,-1°,64°,65°,445 W/m²,---,"0.01""","0.00""","0.00""",64° (09:40),51° (06:09),15 mph (09:34),2026-08-22T14:43:57.076250
Webster 1N,ND-NE,22 Aug 09:40 CDT,61°,NNE,5 mph,7 mph,79 %,55°,58°,4°,-1°,-1°,60°,61°,434 W/m²,1025.2 mb,"0.00""","0.00""","0.00""",62° (09:40),48° (07:03),9 mph (09:25),2026-08-22T14:43:57.076250
Wells 3S,MN-SC,22 Aug 09:40 CDT,70°,NNE,3 mph,6 mph,82 %,64°,66°,4°,-2°,1°,73°,70°,531 W/m²,1019.9 mb,"0.00""","0.00""","0.00""",70° (09:40),58° (06:16),9 mph (09:31),2026-08-22T14:43:57.076250
Werner 6N,ND-WC,22 Aug 09:40 CDT,66°,E,5 mph,7 mph,63 %,53°,58°,8°,---,-3°,63°,65°,377 W/m²,1026.0 mb,"0.00""","0.00""","0.00""",66° (09:40),53° (02:16),9 mph (06:59),2026-08-22T14:43:57.076250
Westport,MN-WC,22 Aug 09:40 CDT,66°,N,6 mph,11 mph,70 %,56°,60°,6°,---,-2°,68°,66°,506 W/m²,---,"0.00""","0.00""","0.00""",67° (09:39),54° (05:59),11 mph (09:36),2026-08-22T14:43:57.076250
Williams 6N,MN-NC,22 Aug 09:40 CDT,64°,NW,9 mph,15 mph,68 %,53°,57°,6°,---,-1°,61°,62°,440 W/m²,---,"0.54""","0.00""","0.00""",64° (09:35),56° (06:35),15 mph (08:25),2026-08-22T14:43:57.076250
Williston 5SW,ND-NW,22 Aug 09:40 CDT,63°,ESE,6 mph,11 mph,67 %,52°,56°,7°,-1°,-2°,64°,65°,399 W/m²,1025.5 mb,"0.06""","0.00""","0.00""",63° (09:40),54° (06:47),11 mph (09:35),2026-08-22T14:43:57.076250
Willmar 2SW,MN-C,22 Aug 09:40 CDT,69°,N,4 mph,8 mph,71 %,59°,62°,6°,-1°,-2°,66°,66°,471 W/m²,1021.0 mb,"0.00""","0.00""","0.00""",69° (09:40),51° (06:43),10 mph (09:27),2026-08-22T14:43:57.076250
Willow City 4E,ND-NC,22 Aug 09:40 CDT,63°,S,2 mph,3 mph,69 %,52°,56°,6°,-1°,-5°,60°,62°,416 W/m²,1025.3 mb,"0.00""","0.00""","0.00""",63° (09:40),40° (05:20),5 mph (06:33),2026-08-22T14:43:57.076250
Windom 4SE,MN-SW,22 Aug 09:40 CDT,69°,N,5 mph,8 mph,74 %,60°,63°,5°,-1°,-5°,70°,67°,477 W/m²,1021.0 mb,"0.01""","0.00""","0.00""",69° (09:39),60° (02:25),11 mph (06:53),2026-08-22T14:43:57.076250
Wing 8N,ND-SC,22 Aug 09:40 CDT,64°,NNE,7 mph,9 mph,76 %,56°,59°,5°,-2°,-5°,64°,66°,430 W/m²,1025.6 mb,"0.00""","0.00""","0.00""",64° (09:39),48° (05:27),11 mph (09:30),2026-08-22T14:43:57.076250
Wirch 7NW,ND-SE,22 Aug 09:40 CDT,66°,N,6 mph,9 mph,73 %,57°,60°,6°,0°,-3°,66°,68°,491 W/m²,1024.6 mb,"0.00""","0.00""","0.00""",66° (09:40),53° (06:33),9 mph (09:34),2026-08-22T14:43:57.076250
Wishek 5W,ND-SE,22 Aug 09:40 CDT,66°,NNE,6 mph,7 mph,62 %,52°,58°,8°,-1°,-2°,65°,65°,420 W/m²,1025.6 mb,"0.00""","0.00""","0.00""",66° (09:40),57° (05:08),8 mph (09:30),2026-08-22T14:43:57.076250
Wolford 4E,ND-NC,22 Aug 09:40 CDT,64°,NNE,5 mph,7 mph,65 %,52°,57°,7°,-1°,-3°,64°,63°,431 W/m²,1025.3 mb,"0.00""","0.00""","0.00""",64° (09:40),45° (07:15),12 mph (02:22),2026-08-22T14:43:57.076250
Wolverton 2E,MN-WC,22 Aug 09:40 CDT,66°,NNE,7 mph,12 mph,69 %,55°,59°,6°,-1°,-2°,68°,68°,453 W/m²,1022.9 mb,"0.00""","0.00""","0.00""",66° (09:40),52° (03:33),13 mph (09:27),2026-08-22T14:43:57.076250
Woodworth 2NE,ND-C,22 Aug 09:40 CDT,62°,N,6 mph,10 mph,85 %,57°,59°,3°,-1°,-3°,64°,66°,463 W/m²,1025.3 mb,"0.00""","0.00""","0.00""",62° (09:33),51° (04:58),11 mph (08:10),2026-08-22T14:43:57.076250
Ypsilanti 2E,ND-C,22 Aug 09:40 CDT,64°,NNE,5 mph,8 mph,76 %,57°,59°,5°,-1°,-4°,67°,66°,445 W/m²,1023.8 mb,"0.00""","0.00""","0.00""",64° (09:40),51° (06:16),8 mph (09:39),2026-08-22T14:43:57.076250
Zap 11N,ND-WC,22 Aug 09:40 CDT,64°,E,3 mph,5 mph,69 %,54°,58°,6°,-2°,-5°,60°,63°,401 W/m²,1025.9 mb,"0.03""","0.00""","0.00""",64° (09:39),53° (05:15),8 mph (09:05),2026-08-22T14:43:57.076250
Zeeland 7NE,ND-SE,22 Aug 09:40 CDT,65°,NNE,2 mph,4 mph,77 %,58°,61°,5°,0°,-3°,61°,63°,393 W/m²,1025.0 mb,"0.00""","0.00""","0.00""",66° (09:40),47° (06:11),9 mph (02:18),2026-08-22T14:43:57.076250
